"CAMPAIGN_PERFORMANCE_REPORT (Feb 1, 2022-Feb 28, 2022)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Headline,136,6,20290000,0.00,home health services,enabled,4.41%,2022-02-20
Phone calls,50,0,0,0.00,home health services,enabled,0.00%,2022-02-15
Phone calls,80,0,0,0.00,home health services,enabled,0.00%,2022-02-18
Driving direction,53,0,0,0.00,home health services,enabled,0.00%,2022-02-14
Driving direction,38,0,0,0.00,home health services,enabled,0.00%,2022-02-23
Get location details,51,1,2880000,0.00,home health services,enabled,1.96%,2022-02-12
Phone calls,55,0,0,0.00,home health services,enabled,0.00%,2022-02-10
Headline,225,8,25700000,0.00,home health services,enabled,3.56%,2022-02-15
Sitelink,126,1,2960000,0.00,home health services,enabled,0.79%,2022-02-01
Image extension,55,0,0,0.00,home health services,enabled,0.00%,2022-02-08
Phone calls,37,0,0,0.00,home health services,enabled,0.00%,2022-02-20
Driving direction,59,0,0,0.00,home health services,enabled,0.00%,2022-02-18
Driving direction,34,0,0,0.00,home health services,enabled,0.00%,2022-02-17
Driving direction,16,0,0,0.00,home health services,enabled,0.00%,2022-02-27
Get location details,34,0,0,0.00,home health services,enabled,0.00%,2022-02-27
Sitelink,162,3,8860000,0.00,home health services,enabled,1.85%,2022-02-19
Image extension,47,0,0,0.00,home health services,enabled,0.00%,2022-02-28
Get location details,59,1,4100000,0.00,home health services,enabled,1.69%,2022-02-17
Get location details,86,1,3920000,0.00,home health services,enabled,1.16%,2022-02-02
Headline,300,7,22480000,0.00,home health services,enabled,2.33%,2022-02-22
Phone calls,65,0,0,0.00,home health services,enabled,0.00%,2022-02-26
Driving direction,53,0,0,0.00,home health services,enabled,0.00%,2022-02-08
Sitelink,75,2,6000000,0.00,home health services,enabled,2.67%,2022-02-20
Image extension,69,0,0,0.00,home health services,enabled,0.00%,2022-02-25
