"CAMPAIGN_PERFORMANCE_REPORT (Mar 1, 2022-Mar 31, 2022)"
Campaign ID,Campaign,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners),All conv.
16334583574,Sales-Performance Max- 21feb2022,913,34,17590000,0.00,2022-03-05,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,3.72%,517353,0.00%,0.00,517353,19266156,Cross-network,177.00
16334583574,Sales-Performance Max- 21feb2022,226,13,12320000,0.00,2022-03-11,Computers,Cross-network,Cross-network,GBP,0,5.75%,947692,0.00%,0.00,947692,54513274,Cross-network,80.00
16334583574,Sales-Performance Max- 21feb2022,202,19,9020000,2.00,2022-03-15,Mobile devices with full browsers,Cross-network,Cross-network,GBP,4510000,9.41%,474737,10.53%,0.77,474737,44653465,Cross-network,61.00
16334583574,Sales-Performance Max- 21feb2022,11,2,830000,0.00,2022-03-20,Tablets with full browsers,Cross-network,Cross-network,GBP,0,18.18%,415000,0.00%,0.00,415000,75454545,Cross-network,12.00
16334583574,Sales-Performance Max- 21feb2022,1059,15,5490000,0.00,2022-03-04,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,1.42%,366000,0.00%,0.00,366000,5184136,Cross-network,27.00
16334583574,Sales-Performance Max- 21feb2022,29,1,490000,0.00,2022-03-13,Tablets with full browsers,Cross-network,Cross-network,GBP,0,3.45%,490000,0.00%,0.00,490000,16896552,Cross-network,3.00
16485662623,Campaign for 341163 (Shopify - Luis),936,3,1620000,0.00,2022-03-13,Mobile devices with full browsers,Cross-network,Cross-network,GBP,0,0.32%,540000,0.00%,0.00,540000,1730769,Cross-network,8.00
16485662623,Campaign for 341163 (Shopify - Luis),166,1,360000,0.00,2022-03-12,Tablets with full browsers,Cross-network,Cross-network,GBP,0,0.60%,360000,0.00%,0.00,360000,2168675,Cross-network,2.00
16334583574,Sales-Performance Max- 21feb2022,5075,32,12490000,1.00,2022-03-01,Mobile devices with full browsers,Cross-network,Cross-network,GBP,12490000,0.63%,390313,3.12%,0.75,390313,2461084,Cross-network,1.00
16334583574,Sales-Performance Max- 21feb2022,935,5,1780000,0.00,2022-03-04,Computers,Cross-network,Cross-network,GBP,0,0.53%,356000,0.00%,0.00,356000,1903743,Cross-network,8.00
16485662623,Campaign for 341163 (Shopify - Luis),1217,2,820000,0.00,2022-03-11,Computers,Cross-network,Cross-network,GBP,0,0.16%,410000,0.00%,0.00,410000,673788,Cross-network,9.00
16334583574,Sales-Performance Max- 21feb2022,146,1,320000,0.00,2022-03-29,Tablets with full browsers,Cross-network,Cross-network,GBP,0,0.68%,320000,0.00%,0.00,320000,2191781,Cross-network,1.00
16334583574,Sales-Performance Max- 21feb2022,93,1,120000,0.00,2022-03-31,Tablets with full browsers,Cross-network,Cross-network,GBP,0,1.08%,120000,0.00%,0.00,120000,1290323,Cross-network,2.00
