"CAMPAIGN_PERFORMANCE_REPORT (Apr 23, 2022-May 22, 2022)"
Campaign ID,Campaign,Campaign state,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners)
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,5,1,3680000,1.00,2022-05-17,Computers,Search Network,Google search: Top,USD,3680000,20.00%,3680000,100.00%,0.00,3680000,736000000,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,8,0,0,0.00,2022-05-07,Computers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,1,0,0,0.00,2022-05-22,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,13,1,3850000,0.00,2022-05-16,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,7.69%,3850000,0.00%,0.00,3850000,296153846,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,1,0,0,0.00,2022-04-25,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,11,0,0,0.00,2022-05-20,Computers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,9,0,0,0.00,2022-05-17,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,40,3,12080000,2.00,2022-05-01,Mobile devices with full browsers,Search Network,Google search: Top,USD,6040000,7.50%,4026667,66.67%,0.00,4026667,302000000,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,17,2,7220000,0.00,2022-05-11,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,11.76%,3610000,0.00%,0.00,3610000,424705882,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,1,0,0,0.00,2022-05-08,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,10,1,3320000,1.00,2022-04-28,Computers,Search Network,Google search: Top,USD,3320000,10.00%,3320000,100.00%,0.00,3320000,332000000,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,7,2,7540000,3.00,2022-05-18,Computers,Search Network,Google search: Top,USD,2513333,28.57%,3770000,150.00%,0.00,3770000,1077142857,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,27,2,2900000,1.00,2022-04-29,Computers,Search Network,Google search: Other,USD,2900000,7.41%,1450000,50.00%,0.00,1450000,107407407,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,2,0,0,0.00,2022-05-22,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,9,0,0,0.00,2022-05-05,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,1,0,0,0.00,2022-04-27,Tablets with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,1,0,0,0.00,2022-05-03,Tablets with full browsers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,6,0,0,0.00,2022-05-07,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,44,0,0,0.00,2022-05-04,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,41,2,8040000,1.00,2022-05-14,Mobile devices with full browsers,Search Network,Google search: Top,USD,8040000,4.88%,4020000,50.00%,0.00,4020000,196097561,Google search
16906402036,Brook Insurance RI and Southern Mass Search-April 2022,enabled,8,2,4420000,0.00,2022-04-27,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,25.00%,2210000,0.00%,0.00,2210000,552500000,Google search
