"CAMPAIGN_PERFORMANCE_REPORT (Apr 1, 2022-Apr 30, 2022)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Sitelink,5,0,0,0.00,new feb-search,enabled,0.00%,2022-04-14
Headline,102,2,414767,0.00,Sales-Display-1,enabled,1.96%,2022-04-07
Image extension,9,0,0,0.00,new feb-search,enabled,0.00%,2022-04-29
Headline,14,1,50000,0.00,new feb-search,enabled,7.14%,2022-04-10
Headline,3272,37,10732818,0.00,Sales-Display-1,enabled,1.13%,2022-04-19
Shopping ad - Standard,613,4,320000,0.00,shopping-Imark,enabled,0.65%,2022-04-04
Shopping ad - Standard,602,8,730000,0.00,shopping-Imark,enabled,1.33%,2022-04-11
Sitelink,5,0,0,0.00,new feb-search,enabled,0.00%,2022-04-23
Headline,17,2,500000,0.00,new feb-search,enabled,11.76%,2022-04-01
Shopping ad - Standard,516,7,280000,0.00,shopping-Imark,enabled,1.36%,2022-04-05
Headline,720,22,5775780,0.00,Sales-Display-1,enabled,3.06%,2022-04-23
Headline,241,2,364441,0.00,Sales-Display-1,enabled,0.83%,2022-04-18
Headline,3,0,0,0.00,shopping-Imark,enabled,0.00%,2022-04-15
Shopping ad - Standard,615,4,230000,0.00,shopping-Imark,enabled,0.65%,2022-04-01
Image extension,14,0,0,0.00,new feb-search,enabled,0.00%,2022-04-16
Sitelink,5,0,0,0.00,new feb-search,enabled,0.00%,2022-04-19
Shopping ad - Standard,478,7,660000,0.00,shopping-Imark,enabled,1.46%,2022-04-16
Shopping ad - Standard,514,3,140000,0.00,shopping-Imark,enabled,0.58%,2022-04-13
Sitelink,6,0,0,0.00,new feb-search,enabled,0.00%,2022-04-18
Image extension,6,0,0,0.00,new feb-search,enabled,0.00%,2022-04-06
Headline,2718,15,5011540,0.00,Sales-Display-1,enabled,0.55%,2022-04-29
Headline,18,0,0,0.00,new feb-search,enabled,0.00%,2022-04-21
Headline,12,0,0,0.00,new feb-search,enabled,0.00%,2022-04-19
Headline,5,0,0,0.00,shopping-Imark,enabled,0.00%,2022-04-13
Headline,1649,19,5508068,0.00,Sales-Display-1,enabled,1.15%,2022-04-06
Headline,20,0,0,0.00,new feb-search,enabled,0.00%,2022-04-30
Headline,9,0,0,0.00,new feb-search,enabled,0.00%,2022-04-05
Shopping ad - Standard,607,4,300000,0.00,shopping-Imark,enabled,0.66%,2022-04-09
Shopping ad - Standard,591,7,1200000,0.00,shopping-Imark,enabled,1.18%,2022-04-18
Shopping ad - Standard,480,4,1630000,0.00,shopping-Imark,enabled,0.83%,2022-04-21
Image extension,16,0,0,0.00,new feb-search,enabled,0.00%,2022-04-30
Shopping ad - Standard,452,6,770000,0.00,shopping-Imark,enabled,1.33%,2022-04-23
Headline,10,1,490000,0.00,new feb-search,enabled,10.00%,2022-04-29
Headline,17,0,0,0.00,new feb-search,enabled,0.00%,2022-04-22
Sitelink,2,0,0,0.00,new feb-search,enabled,0.00%,2022-04-25
